country,year,co2_ttl,co2_per_cap,prot_area_perc,gdp,under_5_mort_rate,pop_growth_perc,pop,urb_pop_growth_perc,urb_pop
AGO,1991,4367.397,0.409948922961107,12.3998220487,12193746624.6789,239.1,3.03486600826632,10653515.0,6.68703162667795,4099472.572
AGO,1992,4418.735,0.401596941172835,12.399822686,5779394291.7582,235.3,3.22698986166594,11002910.0,6.75045876038023,4385759.926
AGO,1993,5801.194,0.510140831446347,12.3998233313,5285600050.3455,231.1,3.29724264602598,11371750.0,6.70077708243702,4689709.7
AGO,1994,3890.687,0.331320808382214,12.3998239766,4059577145.36303,226.3,3.21217023653504,11742960.0,6.50366698870625,5004849.552
AGO,1995,11012.001,0.909698924544645,12.3998246299,5039534776.4902,221.5,3.03733523614654,12105105.0,6.22393596092553,5326246.2
AGO,1996,10491.287,0.84248925435999,12.3998252832,7526446605.51712,217.0,2.83122100089637,12452725.0,5.07850658610223,5603726.25
AGO,1997,7381.671,0.577043014446965,12.3998259444,7675412589.45525,212.4,2.68990281015527,12792237.0,4.8877934820328,5884429.02
AGO,1998,7308.331,0.556263022552826,12.3998266057,6445192203.74553,207.9,2.66904622001228,13138265.0,4.81966674210864,6174984.55
AGO,1999,9156.499,0.677678138929029,12.3998266057,6154480286.73835,203.3,2.801776072338,13511575.0,4.90711699212122,6485556.0
AGO,2000,9541.534,0.685141350156283,12.3998266057,9129180360.52186,199.6,3.02376551056242,13926373.0,5.08569423083599,6823922.77
ALB,1991,3971.361,1.2064790328387,4.33645255471,1139166679.0665,39.8,0.0672220105062205,3291695.0,1.43149965088489,1214635.455
ALB,1992,2387.217,0.730709954719691,4.33629005433,709452572.658102,38.6,-0.753570062223099,3266983.0,0.592345275177366,1221851.642
ALB,1993,2343.213,0.726599979348203,4.3361273487,1228071037.41335,37.3,-1.29646769526026,3224901.0,0.0315730715291786,1222237.479
ALB,1994,1928.842,0.606660539805412,4.39177416479,1985673025.89461,36.2,-1.41965424051212,3179442.0,-0.109019489982072,1220905.728
ALB,1995,2086.523,0.664264643427689,4.39160792828,2424498952.88127,35.1,-1.21320159332841,3141102.0,0.080477509743568,1221888.678
ALB,1996,2016.85,0.647963742174139,5.99006390506,3013217852.57366,34.0,-0.911626779987588,3112597.0,0.517698217019263,1228230.7762
ALB,1997,1543.807,0.499306575693537,5.9898728724,2196223713.8105,32.4,-0.667099043695436,3091902.0,0.742083812416387,1237379.1804
ALB,1998,1752.826,0.569277342233952,5.9896815371,2727745453.08283,31.1,-0.416954976813721,3079037.0,0.972645547394424,1249473.2146
ALB,1999,2992.272,0.973817051639831,8.00635426134,3434402453.41057,29.8,-0.205209571340269,3072725.0,1.16534541137397,1264119.065
ALB,2000,3028.942,0.986029944111964,8.00635426134,3686649387.03405,28.6,-0.0282850858599905,3071856.0,1.32373937213448,1280963.952
ARE,1991,57010.849,29.851550309664,0.266886484808,33919640389.9773,20.5,5.44285204581232,1909812.0,5.26570408097411,1507987.5552
ARE,1992,58136.618,28.8648837318994,0.266889498711,35412694052.5501,19.4,5.31651551005473,2014095.0,5.13905317421787,1587509.679
ARE,1993,65980.331,31.0978020496733,0.267615790023,35745300971.5725,18.3,5.20495764205971,2121704.0,5.0271798174598,1669356.7072
ARE,1994,73130.981,32.7503967791919,0.304184020779,38268046815.0419,17.4,5.11174768414021,2232980.0,4.93365324704072,1753782.492
ARE,1995,70641.088,30.0787374618859,0.304700223896,42806864571.426,16.3,5.04564164342743,2348539.0,4.8672294640773,1841254.576
ARE,1996,41059.399,16.5964758044012,0.305230390174,47993462223.6228,15.5,5.20359697919658,2473983.0,5.05041849634792,1936633.8924
